tweet,tweet_id
"Join us on Friday, March 5th from 1 - 2pm for the next CCIDM Research Seminar Series to learn about the role of imagery types in customer perceptions! Dr. Seth Ketron will discuss the steps he took to publish his research. Register at  ",36
"Thank you Erantzeri Corona for his informational talk about the importance of developing data strategies alongside marketing strategies! If you missed out on this guest speaker, make sure to follow us to find out about our future events.
#ccidmexpertspeakerseries #analytics ",35
"Join us TOMORROW to hear VP of Digital Marketing and eCommerce at Viking Cruises, Erantzeri Corona, as he speaks about how data analytics can be utilized to enhance digital marketing campaigns. Register ASAP!  
#ecommerce #digitalmarketing ",34
"Come hear the VP of Digital Marketing and eCommerce at Viking Cruises, Erantzeri Corona, as he speaks about how data analytics can be utilized to enhance digital marketing campaigns. This is an event you won’t want to miss! Register today! ",33
"Come hear the VP of Digital Marketing and eCommerce at Viking Cruises, Erantzeri Corona, as he speaks about how data analytics can be utilized to enhance digital marketing campaigns. This is an event you won’t want to miss! Register today!  
#ecommerce ",32
We would like to thank CCIDM alumnus @WilliamAtienza2  for joining Center members last Friday to discuss his journey from an undergraduate student at Cal Poly Pomona to a PhD student at the University of Washington. We wish you continued success in your program! #graduatestudent ,31
"We would like to thank everyone who participated in our workshops, attended our events, and helped make Fall 2020 one of the most successful semesters yet. We appreciate all your support. Good luck with your finals and have a safe and happy winter break! See you in Spring 2021! ",30
"From the Center and AMI Club, we wish you a happy and safe Thanksgiving! Comment below what kind of pie you’re looking forward to eating!
#Thanksgiving2020 ",29
"Our full, six part Virtual R Workshop Series is now uploaded in its entirety on our official YouTube Channel! We also have a growing playlist of digital marketing workshops, so subscribe now and never miss another upload!  

#R #virtualworkshops #youtube ",28
"Join the CCIDM, AMI, and Insights Association on Nov. 24th at 12 P.M. as a panel of Insights Association members and current students discuss diversity, inclusion and how to transition from students to professionals! Register here: 
#diversity #inclusion ",27
"Thank you to those who attended the CCIDM Research Seminar last Friday. If you missed it, make sure to stay tuned for future CCIDM Research Seminars and other exciting events hosted by the Center:  

#ccidmresearchseminar #research ",26
"Join us tomorrow, Friday, Nov. 13, from 1 p.m. - 2 p.m for the CCIDM Research Seminar Series. The two presentations you’ll see are a result of a year-long research effort by Center students and faculty. Register here:  
#ccidmresearchseminar #research ",25
"On Nov. 6th, Dr. Jae Min Jung, Cailin Kuchenbecker, Jillian Munoz and Jarrod Griffin presented research projects at the 2020 GMC. Interested in learning more about the research the CCIDM is doing? Register for our research seminar this Friday here:  ",24
"Join us Friday, Nov. 13, from 1 p.m. to 2 p.m for the CCIDM Research Seminar Series. The two presentations you’ll see are a result of a year-long research effort by Center students and faculty. Please register here:  
#ccidmresearchseminar #research ",23
"Happy Halloween from the Center for Customer Insights and Digital Marketing! Have fun,  be safe, and stay healthy! #halloween #ccidm ",22
"Join us on Tuesday, Nov. 3rd at noon for the 5th installment of our virtual R workshop series! Learn about programming best practices, logical operators, and how to create your own R functions. If you missed the previous workshops, watch them here:  
#r ",21
"Join us Friday, Nov. 13, from 1 p.m. to 2 p.m for the CCIDM Research Seminar Series. The two presentations you’ll see are a result of a year-long research effort by Center students and faculty. Please register here:   

#ccidmresearchseminar #research ",20
"Join us on Tuesday, October 20th at 12pm for our fourth R workshop! Learn about data wrangling using packages like tidyverse! Check out the first three workshops here:  #R #workshops #datascience #tidyverse ",19
"The Center gives a huge thank you to Jenny Yeon for taking the time out of her busy day to speak to Cal Poly Pomona students, faculty, and staff! Jenny shared valuable insights as a CPP Class of ‘15 alumni who is successfully navigating the insights/data industry. ",18
"Join us TODAY for a talk with Jenny Yeon, Director at Kantar, who will share advice on transitioning from a student to a successful professional thriving in the insights/data industry.  
 
Register here: 
 
#ccidmexpertspeakerseries ",17
"Today @UNESCO  and @UNICEF  are celebrating educators who lead in crisis and reimagine the future. We’d like to recognize our Center director and advisors who have worked to find solutions and create new learning environments for their students. #LearningNeverStops
#cpptogether ",16
"Join us for an afternoon with Jenny Yeon, Director at Kantar, who will share her advice on transitioning from a student to a successful professional thriving in the insights/data industry.  
 
Register here:  ",15
"Join us on Tuesday, October 6th at 12pm for our third R workshop! Learn how to import data into RStudio, scrape data from the web, and export data to both local and remote storage locations! Check out the first two workshops here:  #R #workshop #RStudio ",14
"Join us for an afternoon with Jenny Yeon, Director at @Kantar , who will share her advice on transitioning from a student to a successful professional thriving in the insights/data industry.  
 
Register here: 

#ccidmexpertspeakerseries ",13
"Congratulations to Grant, Jarrod, Andrea, and Patrick on being selected to hold new center positions for Fall 2020!

Our current student team now includes: Cailin Kuchenbecker, Jillian Munoz, Patrick Ogaz, Grant Chic, Jarrod Griffin, Sarah Borsaly, and Andrea Escobar Vara.

#team ",12
"The center has welcomed four bright students as new research assistants this semester! Stay tuned to hear about Huy Tran, Sanika Gavankar, Inigo Padernal, and Claire Son’s achievements, progress, and research experience.

#research #researchassistants ",11
"Join us for an afternoon with Jenny Yeon, Director at @Kantar, who will share her advice on transitioning from a student to a successful professional thriving in the insights/data industry.  
 
Register here: 

#ccidmexpertspeakerseries ",10
"Remember to join us tomorrow at noon for the first of our R workshops. If you attend every workshop, you’ll earn a certificate of completion from the Center for Customer Insights and Digital Marketing!  

Zoom Link:  ",9
"Congratulations to Jarrod Griffin, Jillian Munoz, and Cailin Kuchenbecker on being awarded the Office of Undergraduate Research’s Conference Presentation Award. Thank you to OUR, who have provided our students with an opportunity to present at the Global Marketing Conference! ",8
"The center would like to thank Cal Poly Pomona’s Office of Undergraduate Research for hosting the 6th Annual Creative Activities &amp; Research Symposium. The feedback provided by faculty, staff, and students will go a long way in improving the projects. ",7
"The center has officially released the second issue of CCIDM Chronicles, the center’s biannual newsletter. Please take the time to read their stories and give a big round of applause to our amazing students. Click here to view:  ",6
